fase;campeonato;copa;pista;bioma;ambiente;clima;horario;peculiaridade;traço dominante;compassos/sections;fingerprint
31;2;Torneio Costa Azul;Arena Neblina Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;esses de alta velocidade;16;bf1e6c6f33ac
32;2;Torneio Costa Azul;Circuito Nômade Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;bb19d175ca2e
33;2;Torneio Costa Azul;Grande Laço Tempestade 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;esses de alta velocidade;19;47a4b67f57a1
34;2;Torneio Costa Azul;Ponte Falésia RX;city;Megacidade cyber;tempestade;Madrugada;final em mergulho;descida rápida;19;54da9fffbcd7
35;2;Torneio Costa Azul;Arena Vector Mirror;grass;Floresta leve;neblina;Amanhecer;descida rápida;descida rápida;12;d6bc12868356
36;2;Torneio Costa Azul;Circuito Atlântico Clássico;grass;Costa tropical;céu limpo;Tarde;reta de pit longa;esses de alta velocidade;16;dee2ba9a5295
37;2;Torneio Costa Azul;Grande Laço Mandacaru Circuit;city;Cidade neon;noite seca;Noite;reta com vento;entrada de chicane;17;4cab0278d147
38;2;Torneio Costa Azul;Ponte Horizonte Solar;grass;Campos verdes;céu limpo;Manhã;S técnico;curva longa de alta;18;67fbc257d953
39;2;Torneio Costa Azul;Arena Cobalto Leste;mountain;Vale nevado;neblina;Noite;ponto de frenagem tardia;subida cega;19;115077d5c0bb
40;2;Torneio Costa Azul;Circuito Cascata Pro;desert;Cânion seco;céu limpo;Pôr do sol;ponte estreita;esses de alta velocidade;14;c3f8ad061361
41;2;Torneio Costa Azul;Grande Laço Neblina GT;city;Porto neon;chuva;Noite;sequência de placas;reta de recuperação;14;2e046b887237
42;2;Torneio Costa Azul;Ponte Nômade Endurance;city;Megacidade cyber;tempestade;Madrugada;curva de raio crescente;esses de alta velocidade;17;a0f0ba333f2f
43;2;Torneio Costa Azul;Arena Tempestade Master;grass;Floresta leve;neblina;Amanhecer;chicane curta;reta de recuperação;18;47a13aac8c95
44;2;Torneio Costa Azul;Circuito Falésia Extreme;grass;Costa tropical;céu limpo;Tarde;miolo de 3 vértices;saída de chicane;19;0b90319122c4
45;2;Torneio Costa Azul;Grande Laço Vector Noite;city;Cidade neon;noite seca;Noite;cotovelo em subida;esses de alta velocidade;15;9bf138491b1a
46;2;Torneio Costa Azul;Ponte Atlântico Sul;grass;Campos verdes;céu limpo;Manhã;hairpin duplo;saída de chicane;16;6e3c4a645d0a
47;2;Torneio Costa Azul;Arena Mandacaru Final;mountain;Vale nevado;neblina;Noite;retomada após túnel;saída de chicane;17;25eb0f3f006a
48;2;Torneio Costa Azul;Circuito Horizonte Prime;desert;Cânion seco;céu limpo;Pôr do sol;túnel escuro;esses de alta velocidade;20;d706796e4d81
49;2;Torneio Costa Azul;Grande Laço Cobalto Sprint;city;Porto neon;chuva;Noite;subida em caracol;reta de recuperação;20;42b56da34511
50;2;Torneio Costa Azul;Ponte Cascata SX;city;Megacidade cyber;tempestade;Madrugada;curva de raio fechado;esses de alta velocidade;15;6912ee6c1f85
51;2;Torneio Costa Azul;Arena Neblina Arcade;grass;Floresta leve;neblina;Amanhecer;curva longa de alta;esses de alta velocidade;15;5b889cd848e8
52;2;Torneio Costa Azul;Circuito Nômade Turbo;grass;Costa tropical;céu limpo;Tarde;curva espelhada falsa;túnel escuro;17;15061f3dbb4f
53;2;Torneio Costa Azul;Grande Laço Tempestade Norte;city;Cidade neon;noite seca;Noite;zigue-zague rítmico;túnel escuro;18;1da78ab8ca49
54;2;Torneio Costa Azul;Ponte Falésia Chuva;grass;Campos verdes;céu limpo;Manhã;subida cega;esses de alta velocidade;19;e8bb48fcac2a
55;3;Desafio Vale do Sol;Desafio Fênix Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;subida cega;12;2aeaf79f27ea
56;3;Desafio Vale do Sol;Anel Liberdade Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;descida rápida;16;a2e2c35d9bcf
57;3;Desafio Vale do Sol;Passagem Turbo SX;grass;Floresta leve;neblina;Amanhecer;subida cega;hairpin forte;17;8df404d2c569
58;3;Desafio Vale do Sol;Túnel Miragem Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;curva em caracol;18;867c2fd8479c
59;3;Desafio Vale do Sol;Desafio Pixel Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;túnel escuro;20;eabc4f188bf5
60;3;Desafio Vale do Sol;Anel Eclipse Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;entrada de chicane;15;652c4e7cb91d
61;3;Desafio Vale do Sol;Passagem Lunar Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;curva longa de alta;16;cc04f593e095
62;3;Desafio Vale do Sol;Túnel Neon Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;525cba475e03
63;3;Desafio Vale do Sol;Desafio Esmeralda 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;curva em caracol;19;9b3edc9973f1
64;3;Desafio Vale do Sol;Anel Monsoon RX;city;Megacidade cyber;tempestade;Madrugada;final em mergulho;esses de alta velocidade;19;2411f63ece0f
65;3;Desafio Vale do Sol;Passagem Fênix Mirror;grass;Floresta leve;neblina;Amanhecer;descida rápida;descida rápida;12;211546780ef7
66;3;Desafio Vale do Sol;Túnel Liberdade Clássico;grass;Costa tropical;céu limpo;Tarde;reta de pit longa;subida cega;16;84a08c78ec85
67;3;Desafio Vale do Sol;Desafio Turbo Circuit;city;Cidade neon;noite seca;Noite;reta com vento;entrada de chicane;17;c8ae24733b07
68;3;Desafio Vale do Sol;Anel Miragem Solar;grass;Campos verdes;céu limpo;Manhã;S técnico;saída de chicane;18;c046effddd8c
69;3;Desafio Vale do Sol;Passagem Pixel Leste;mountain;Vale nevado;neblina;Noite;ponto de frenagem tardia;hairpin forte;19;b4ad58be16be
70;3;Desafio Vale do Sol;Túnel Eclipse Pro;desert;Cânion seco;céu limpo;Pôr do sol;ponte estreita;reta de recuperação;14;b1aac69c0c81
71;3;Desafio Vale do Sol;Desafio Lunar GT;city;Porto neon;chuva;Noite;sequência de placas;túnel escuro;14;18e738110e04
72;3;Desafio Vale do Sol;Anel Neon Endurance;city;Megacidade cyber;tempestade;Madrugada;curva de raio crescente;esses de alta velocidade;17;ef2c281119c6
73;3;Desafio Vale do Sol;Passagem Esmeralda Master;grass;Floresta leve;neblina;Amanhecer;chicane curta;esses de alta velocidade;18;791a90605be2
74;3;Desafio Vale do Sol;Túnel Monsoon Extreme;grass;Costa tropical;céu limpo;Tarde;miolo de 3 vértices;curva longa de alta;19;198c8d54883f
75;3;Desafio Vale do Sol;Desafio Fênix Noite;city;Cidade neon;noite seca;Noite;cotovelo em subida;esses de alta velocidade;15;92b09c178f39
76;3;Desafio Vale do Sol;Anel Liberdade Sul;grass;Campos verdes;céu limpo;Manhã;hairpin duplo;hairpin forte;16;e5408e6807b9
77;3;Desafio Vale do Sol;Passagem Turbo Final;mountain;Vale nevado;neblina;Noite;retomada após túnel;saída de chicane;17;c5a9ab8af6e9
78;3;Desafio Vale do Sol;Túnel Miragem Prime;desert;Cânion seco;céu limpo;Pôr do sol;túnel escuro;esses de alta velocidade;20;6a72255b0a0e
79;3;Desafio Vale do Sol;Desafio Pixel Sprint;city;Porto neon;chuva;Noite;subida em caracol;reta de recuperação;20;528bcca7c6e9
80;3;Desafio Vale do Sol;Anel Eclipse SX;city;Megacidade cyber;tempestade;Madrugada;curva de raio fechado;esses de alta velocidade;15;aad8684e8725
81;3;Desafio Vale do Sol;Passagem Lunar Arcade;grass;Floresta leve;neblina;Amanhecer;curva longa de alta;saída de chicane;15;501aafa572aa
82;4;Copa Deserto Rubro;Travessia Infinito Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;entrada de chicane;17;1304ab4a1cbd
83;4;Copa Deserto Rubro;Caminho Prisma Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;esses de alta velocidade;18;abeee6921c21
84;4;Copa Deserto Rubro;Estrada Titânio Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;túnel escuro;22;96add4fb2a21
85;4;Copa Deserto Rubro;Via Expressa Trovão Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;subida cega;12;f25c38607ce5
86;4;Copa Deserto Rubro;Travessia Gaia Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;esses de alta velocidade;16;3845b65c6f76
87;4;Copa Deserto Rubro;Caminho Orion SX;grass;Floresta leve;neblina;Amanhecer;subida cega;hairpin forte;17;c01cf980a566
88;4;Copa Deserto Rubro;Estrada Ômega Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;saída de chicane;18;02f27f234bb6
89;4;Copa Deserto Rubro;Via Expressa Ametista Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;túnel escuro;20;cb2e0dd7e718
90;4;Copa Deserto Rubro;Travessia Delta Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;esses de alta velocidade;15;27009577c812
91;4;Copa Deserto Rubro;Caminho Cristal Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;esses de alta velocidade;16;76a47e9c379e
92;4;Copa Deserto Rubro;Estrada Infinito Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;b4794794f4c9
93;4;Copa Deserto Rubro;Via Expressa Prisma 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;descida rápida;19;2b32f97391cf
94;4;Copa Deserto Rubro;Travessia Titânio RX;city;Megacidade cyber;tempestade;Madrugada;final em mergulho;curva em caracol;19;9e814f403635
95;4;Copa Deserto Rubro;Caminho Trovão Mirror;grass;Floresta leve;neblina;Amanhecer;descida rápida;descida rápida;12;3817ab4ea32e
96;4;Copa Deserto Rubro;Estrada Gaia Clássico;grass;Costa tropical;céu limpo;Tarde;reta de pit longa;saída de chicane;16;31c1013f5356
97;4;Copa Deserto Rubro;Via Expressa Orion Circuit;city;Cidade neon;noite seca;Noite;reta com vento;entrada de chicane;17;2119a30dc17c
98;4;Copa Deserto Rubro;Travessia Ômega Solar;grass;Campos verdes;céu limpo;Manhã;S técnico;entrada de chicane;18;841f46e97847
99;4;Copa Deserto Rubro;Caminho Ametista Leste;mountain;Vale nevado;neblina;Noite;ponto de frenagem tardia;esses de alta velocidade;19;c1c1daecbcf5
100;4;Copa Deserto Rubro;Estrada Delta Pro;desert;Cânion seco;céu limpo;Pôr do sol;ponte estreita;esses de alta velocidade;14;c940d88b2037
101;4;Copa Deserto Rubro;Via Expressa Cristal GT;city;Porto neon;chuva;Noite;sequência de placas;reta de recuperação;14;753bf092f709
102;4;Copa Deserto Rubro;Travessia Infinito Endurance;city;Megacidade cyber;tempestade;Madrugada;curva de raio crescente;esses de alta velocidade;17;2b1592cd220d
103;4;Copa Deserto Rubro;Caminho Prisma Master;grass;Floresta leve;neblina;Amanhecer;chicane curta;descida rápida;18;65a04efc145e
104;4;Copa Deserto Rubro;Estrada Titânio Extreme;grass;Costa tropical;céu limpo;Tarde;miolo de 3 vértices;ponte estreita;19;d46d92bf02bb
105;4;Copa Deserto Rubro;Via Expressa Trovão Noite;city;Cidade neon;noite seca;Noite;cotovelo em subida;esses de alta velocidade;15;107725bf4ebd
106;4;Copa Deserto Rubro;Travessia Gaia Sul;grass;Campos verdes;céu limpo;Manhã;hairpin duplo;esses de alta velocidade;16;6be57b27831c
107;4;Copa Deserto Rubro;Caminho Orion Final;mountain;Vale nevado;neblina;Noite;retomada após túnel;saída de chicane;17;adb87d119069
108;4;Copa Deserto Rubro;Estrada Ômega Prime;desert;Cânion seco;céu limpo;Pôr do sol;túnel escuro;esses de alta velocidade;20;7d25569837af
109;5;Liga Neon Noturna;Rally Aurora Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;curva longa de alta;19;ae6b4791dbb6
110;5;Liga Neon Noturna;Sprint Vulcano Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;túnel escuro;14;aa256c9a9a97
111;5;Liga Neon Noturna;Vale Relâmpago Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;subida cega;16;00d340dcca11
112;5;Liga Neon Noturna;Rota Centelha Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;entrada de chicane;17;f3f544ee0a55
113;5;Liga Neon Noturna;Rally Solaris Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;hairpin forte;18;b450f6678105
114;5;Liga Neon Noturna;Sprint Diamante Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;esses de alta velocidade;22;b0bf80a506fe
115;5;Liga Neon Noturna;Vale Atlas Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;subida cega;12;c17dc5303023
116;5;Liga Neon Noturna;Rota Jaguar Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;curva longa de alta;16;a90730b2f6a8
117;5;Liga Neon Noturna;Rally Saturno SX;grass;Floresta leve;neblina;Amanhecer;subida cega;hairpin forte;17;5b8689d924cf
118;5;Liga Neon Noturna;Sprint Coral Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;subida cega;18;ba5b30a2467e
119;5;Liga Neon Noturna;Vale Aurora Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;túnel escuro;20;74b2b508f22e
120;5;Liga Neon Noturna;Rota Vulcano Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;esses de alta velocidade;15;558e9011f5ed
121;5;Liga Neon Noturna;Rally Relâmpago Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;reta de recuperação;16;3374e32fa1de
122;5;Liga Neon Noturna;Sprint Centelha Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;58ebcb27705d
123;5;Liga Neon Noturna;Vale Solaris 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;esses de alta velocidade;19;2285db7f8664
124;5;Liga Neon Noturna;Rota Diamante RX;city;Megacidade cyber;tempestade;Madrugada;final em mergulho;descida rápida;19;bf221851ab42
125;5;Liga Neon Noturna;Rally Atlas Mirror;grass;Floresta leve;neblina;Amanhecer;descida rápida;descida rápida;12;2ec53625fa62
126;5;Liga Neon Noturna;Sprint Jaguar Clássico;grass;Costa tropical;céu limpo;Tarde;reta de pit longa;reta de recuperação;16;cca33edbaa3a
127;5;Liga Neon Noturna;Vale Saturno Circuit;city;Cidade neon;noite seca;Noite;reta com vento;entrada de chicane;17;d2e628758c24
128;5;Liga Neon Noturna;Rota Coral Solar;grass;Campos verdes;céu limpo;Manhã;S técnico;curva longa de alta;18;cf5f90bc1fd0
129;5;Liga Neon Noturna;Rally Aurora Leste;mountain;Vale nevado;neblina;Noite;ponto de frenagem tardia;reta de recuperação;19;7af6d64c4e97
130;5;Liga Neon Noturna;Sprint Vulcano Pro;desert;Cânion seco;céu limpo;Pôr do sol;ponte estreita;reta de recuperação;14;d9c80157ed01
131;5;Liga Neon Noturna;Vale Relâmpago GT;city;Porto neon;chuva;Noite;sequência de placas;túnel escuro;14;5a5ef119b8f1
132;5;Liga Neon Noturna;Rota Centelha Endurance;city;Megacidade cyber;tempestade;Madrugada;curva de raio crescente;esses de alta velocidade;17;0632060e4e23
133;5;Liga Neon Noturna;Rally Solaris Master;grass;Floresta leve;neblina;Amanhecer;chicane curta;curva em caracol;18;b2420e882174
134;5;Liga Neon Noturna;Sprint Diamante Extreme;grass;Costa tropical;céu limpo;Tarde;miolo de 3 vértices;esses de alta velocidade;19;ea25839b7196
135;5;Liga Neon Noturna;Vale Atlas Noite;city;Cidade neon;noite seca;Noite;cotovelo em subida;saída de chicane;15;b2e9cb8e5c14
136;6;Rally Serra Fria;Serpentina Mandacaru Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;curva em caracol;15;2ae3d4ae1f09
137;6;Rally Serra Fria;Boulevard Horizonte Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;curva longa de alta;17;3012ed9d8301
138;6;Rally Serra Fria;Volta Cobalto GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;curva longa de alta;18;72ca664ab6cd
139;6;Rally Serra Fria;Autódromo Cascata Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;saída de chicane;19;89440da826c3
140;6;Rally Serra Fria;Serpentina Neblina Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;reta de recuperação;14;36486f0ca034
141;6;Rally Serra Fria;Boulevard Nômade Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;esses de alta velocidade;16;b47c5e6bb6f7
142;6;Rally Serra Fria;Volta Tempestade Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;entrada de chicane;17;213003a4e82f
143;6;Rally Serra Fria;Autódromo Falésia Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;reta de recuperação;18;d494d01a5aac
144;6;Rally Serra Fria;Serpentina Vector Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;túnel escuro;22;dffab8b97067
145;6;Rally Serra Fria;Boulevard Atlântico Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;subida cega;12;8b73e0f61bed
146;6;Rally Serra Fria;Volta Mandacaru Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;saída de chicane;16;c476d1ccc946
147;6;Rally Serra Fria;Autódromo Horizonte SX;grass;Floresta leve;neblina;Amanhecer;subida cega;hairpin forte;17;91d3b9a2ddb3
148;6;Rally Serra Fria;Serpentina Cobalto Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;entrada de chicane;18;cc11bcec68cc
149;6;Rally Serra Fria;Boulevard Cascata Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;túnel escuro;20;c1d941c4f6b0
150;6;Rally Serra Fria;Volta Neblina Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;esses de alta velocidade;15;85e5ed6dc8a2
151;6;Rally Serra Fria;Autódromo Nômade Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;entrada de chicane;16;b3ab19898943
152;6;Rally Serra Fria;Serpentina Tempestade Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;d2ca78c1f19e
153;6;Rally Serra Fria;Boulevard Falésia 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;entrada de chicane;19;e857f24aa6eb
154;6;Rally Serra Fria;Volta Vector RX;city;Megacidade cyber;tempestade;Madrugada;final em mergulho;entrada de chicane;19;94ff3acdd9a0
155;6;Rally Serra Fria;Autódromo Atlântico Mirror;grass;Floresta leve;neblina;Amanhecer;descida rápida;descida rápida;12;89b09e155da7
156;6;Rally Serra Fria;Serpentina Mandacaru Clássico;grass;Costa tropical;céu limpo;Tarde;reta de pit longa;ponte estreita;16;28ed523d04a0
157;6;Rally Serra Fria;Boulevard Horizonte Circuit;city;Cidade neon;noite seca;Noite;reta com vento;entrada de chicane;17;3bc645d369a4
158;6;Rally Serra Fria;Volta Cobalto Solar;grass;Campos verdes;céu limpo;Manhã;S técnico;esses de alta velocidade;18;dd05b9ab4081
159;6;Rally Serra Fria;Autódromo Cascata Leste;mountain;Vale nevado;neblina;Noite;ponto de frenagem tardia;curva longa de alta;19;81369c4cfba0
160;6;Rally Serra Fria;Serpentina Neblina Pro;desert;Cânion seco;céu limpo;Pôr do sol;ponte estreita;esses de alta velocidade;14;9b8f91fd4c16
161;6;Rally Serra Fria;Boulevard Nômade GT;city;Porto neon;chuva;Noite;sequência de placas;reta de recuperação;14;347478ed7f50
162;6;Rally Serra Fria;Volta Tempestade Endurance;city;Megacidade cyber;tempestade;Madrugada;curva de raio crescente;esses de alta velocidade;17;e86b6c11e733
163;7;Grande Prêmio Tropical;Circuito Monsoon Clássico;city;Cidade neon;noite seca;Noite;ponte estreita;reta de recuperação;18;0cd1a3b6a5c6
164;7;Grande Prêmio Tropical;Grande Laço Fênix Circuit;grass;Campos verdes;céu limpo;Manhã;sequência de placas;subida cega;19;7662203e625b
165;7;Grande Prêmio Tropical;Ponte Liberdade Solar;mountain;Vale nevado;neblina;Noite;curva de raio crescente;curva longa de alta;15;9e6748602433
166;7;Grande Prêmio Tropical;Arena Turbo Leste;desert;Cânion seco;céu limpo;Pôr do sol;chicane curta;saída de chicane;15;8e9280f50b75
167;7;Grande Prêmio Tropical;Circuito Miragem Pro;city;Porto neon;chuva;Noite;miolo de 3 vértices;curva longa de alta;17;264c2d2387e9
168;7;Grande Prêmio Tropical;Grande Laço Pixel GT;city;Megacidade cyber;tempestade;Madrugada;cotovelo em subida;entrada de chicane;18;3f3122f14188
169;7;Grande Prêmio Tropical;Ponte Eclipse Endurance;grass;Floresta leve;neblina;Amanhecer;hairpin duplo;saída de chicane;19;1477ce5f8091
170;7;Grande Prêmio Tropical;Arena Lunar Master;grass;Costa tropical;céu limpo;Tarde;retomada após túnel;túnel escuro;14;5b6b33878136
171;7;Grande Prêmio Tropical;Circuito Neon Extreme;city;Cidade neon;noite seca;Noite;túnel escuro;reta de recuperação;16;fcd526411604
172;7;Grande Prêmio Tropical;Grande Laço Esmeralda Noite;grass;Campos verdes;céu limpo;Manhã;subida em caracol;entrada de chicane;17;9a9d4b5ceb85
173;7;Grande Prêmio Tropical;Ponte Monsoon Sul;mountain;Vale nevado;neblina;Noite;curva de raio fechado;esses de alta velocidade;18;a83700bc4f3a
174;7;Grande Prêmio Tropical;Arena Fênix Final;desert;Cânion seco;céu limpo;Pôr do sol;curva longa de alta;esses de alta velocidade;22;11ecb8bb346c
175;7;Grande Prêmio Tropical;Circuito Liberdade Prime;city;Porto neon;chuva;Noite;curva espelhada falsa;subida cega;12;903c6ccd23df
176;7;Grande Prêmio Tropical;Grande Laço Turbo Sprint;city;Megacidade cyber;tempestade;Madrugada;zigue-zague rítmico;curva em caracol;16;3d54151591eb
177;7;Grande Prêmio Tropical;Ponte Miragem SX;grass;Floresta leve;neblina;Amanhecer;subida cega;hairpin forte;17;6d77746067c5
178;7;Grande Prêmio Tropical;Arena Pixel Arcade;grass;Costa tropical;céu limpo;Tarde;trecho de aderência baixa;túnel escuro;18;99d5d54e697f
179;7;Grande Prêmio Tropical;Circuito Eclipse Turbo;city;Cidade neon;noite seca;Noite;miolo ondulado;túnel escuro;20;f60c98bbe9f0
180;7;Grande Prêmio Tropical;Grande Laço Lunar Norte;grass;Campos verdes;céu limpo;Manhã;reta de largada larga;saída de chicane;15;6d257b714b38
181;7;Grande Prêmio Tropical;Ponte Neon Chuva;mountain;Vale nevado;neblina;Noite;esses de alta velocidade;saída de chicane;16;f0e1e1dc4dcd
182;7;Grande Prêmio Tropical;Arena Esmeralda Oeste;desert;Cânion seco;céu limpo;Pôr do sol;sequência travada;reta de recuperação;17;3ffd0ad871da
183;7;Grande Prêmio Tropical;Circuito Monsoon 16B;city;Porto neon;chuva;Noite;trecho com relevo quebrado;subida cega;19;2c32cab63a48
